Location,Latitude,Longitude,state,country,Quality check,revised Lat,revised Long,CoordinateCleaner location,CC location rationale
Cayman Islands,19.3133,-81.2546,NA,Cayman Islands,,,,,
Puerto Rico,18.220833,-66.590149,Puerto Rico,United States,,,,,
Lesser Antilles,14.4122148,-64.762796,NA,NA,,,,,
Netherlands Antilles,12.2018902,-68.262382,NA,Nederland,,,,,
Trinidad & Tobago,10.3757217,-61.233559,Couva-Tabaquite-Talparo,Trinidad and Tobago,,,,,
Central America,12.7690126,-85.602364,Matagalpa,Nicaragua,,,,,
Belize,17.189877,-88.49765,Belize District,Belize,,,,,
Costa Rica,9.748917,-83.753428,NA,Costa Rica,,,,,
El Salvador,13.794185,-88.89653,Cabañas,El Salvador,,,,,
Guatemala,15.783471,-90.230759,Alta Verapaz,Guatemala,,,,,
Nicaragua,12.865416,-85.207229,Matagalpa,Nicaragua,,,,,
Venezuela,6.42375,-66.58973,Bolívar,Venezuela,,,,,
French Guiana,3.933889,-53.125782,Guyane,France,,,,,
Ecuador,-1.831239,-78.183406,Morona Santiago,Ecuador,,,,,
Peru,-9.189967,-75.015152,Huánuco,Perú,,,,,
Paraguay,-23.442503,-58.443832,Presidente Hayes,Paraguay / Paraguái,,,,,
Uruguay,-32.522779,-55.765835,Tacuarembó,Uruguay,,,,,
Argentina,-38.416097,-63.616672,La Pampa,Argentina,,,,,
Chile,-35.675147,-71.542969,Región del Maule,Chile,,,,,
Tierra del Fuego,-54.8054,-68.324206,NA,Argentina,,,,,
Ethiopian Region,9.145,40.489673,ኦሮሚያ ክልል Oromia أوروميا,ኢትዮጵያ,,,,,
Mauritania,21.00789,-10.940835,Adrar أدرار,Mauritanie موريتانيا,,,,,
Senegal + The Gambia + Guinea-Bassau,11.803749,-15.180413,Região de Quinara,Guiné-Bissau,,,,,
Senegal,14.497401,-14.452362,NA,Sénégal,,,,,
The Gambia,13.443182,-15.310139,Lower River,Gambia,,,,,
Guinea-Bissau,11.803749,-15.180413,Região de Quinara,Guiné-Bissau,,,,,
Mali + Burkina Faso,12.6309457,-8.0146451,NA,Mali,,,,,
Mali,17.570692,-3.996166,Taoudénit,Mali,,,,,
Burkina Faso,12.238333,-1.561593,NA,Burkina Faso,,,,,
Niger,17.607789,8.081666,Agadez ⴰⴳⴰⴷⴻⵣ منطقة أغاديس,Niger,,,,,
Guinea + Sierra Leone + Liberia,6.9294578,-11.500655,Pujehun District,Sierra Leone,,,,,
Guinea,9.945587,-9.696645,Kankan,Guinée,,,,,
Sierra Leone,8.460555,-11.779889,Tonkolili District,Sierra Leone,,,,,
Liberia,6.428055,-9.429499,Grand Bassa County,Liberia,,,,,
Ivory Coast,7.539989,-5.54708,Vallée du Bandama,Côte d’Ivoire,,,,,
Benin + Togo + Ghana,9.30769,2.315834,Borgou,Bénin,,,,,
Benin,9.30769,2.315834,Borgou,Bénin,,,,,
Ghana,7.946527,-1.023194,Bono East Region,Ghana,,,,,
Northeast Africa,9.1303782,41.2808577,ኦሮሚያ ክልል Oromia أوروميا,ኢትዮጵያ,,,,,
Libya,26.3351,17.228331,ⵍⵊⴼⵔⴰ شعبية الجفرة District of Al-Jufra,ⵍⵉⴱⵢⴰ ليبيا Libya,,,,,
Egypt,26.820553,30.802498,الوادي الجديد,مصر,,,,,
Chad,15.454166,18.732207,Borkou بوركو,Tchad تشاد,,,,,
Sudan,12.862807,30.217636,شمال كردفان North Kordofan,السودان,,,,,
Ethiopia (incl. Dhibouti),11.59516,43.146473,NA,Djibouti جيبوتي,,,,,
Central African Republic,6.611111,20.939444,Ouaka,Ködörösêse tî Bêafrîka / République centrafricaine,,,,,
Zaire,-6.2649292,14.2343282,Zaire,Angola,,,,,
Gabon + Congo + Equatorial Guinea,-0.803689,11.609444,Ogooué-Lolo,Gabon,,,,,
Gabon,-0.803689,11.609444,Ogooué-Lolo,Gabon,,,,,
Equatorial Guinea,1.650801,10.267895,Centro Sur,Guinea Ecuatorial,,,,,
Uganda + Burundi + Rwanda,1.373333,32.290275,Nakasongola,Uganda,,,,,
Uganda,1.373333,32.290275,Nakasongola,Uganda,,,,,
Burundi,-3.373056,29.918886,Gitega,Burundi,,,,,
Rwanda,-1.940278,29.873888,Southern Province,Rwanda,,,,,
Kenya,-0.023559,37.906193,Meru,Kenya,,,,,
Angola,-11.202692,17.873887,Malanje,Angola,,,,,
Southern Africa,-24.357077,19.5687103,Hardap Region,Namibia,,,,,
Botswana,-22.328474,24.684866,Ghanzi District,Botswana,,,,,
Swaziland,-26.522503,31.465866,Manzini,Eswatini,,,,,
Orange Free State,-28.454111,26.7967849,Free State,South Africa,,,,,
Lesotho,-29.609988,28.233608,Thaba-Tseka District,Lesotho,,,,,
Malawi,-13.254308,34.301525,Nkhotakota,Malawi,,,,,
Mozambique,-18.665695,35.529562,Sofala,Moçambique,,,,,
African freshwater lakes,-8,35,Iringa,Tanzania,,,,,
Lake Albert,1.7717865,30.9876321,Ituri,République démocratique du Congo,,,,,
Lake Chad,13.1078947,14.4490398,Lac البحيرة,Tchad تشاد,,,,,
Lake Edward,-0.3256071,29.6962677,Nord-Kivu,République démocratique du Congo,,,,,
Lake Kariba,-16.955651,27.9717606,Matabeleland North,Zimbabwe,,,,,
Lake Kivu,-2.0448431,29.1855785,Western Province,Rwanda,,,,,
Lake Mweru,-8.9368353,28.7664408,Haut-Katanga,République démocratique du Congo,,,,,
Lake Tanganyika,-6.2555679,29.5107708,Tanganyika,République démocratique du Congo,,,,,
Lake Victoria,-0.7557754,33.438353,Buvuma,Uganda,,,,,
Pakistan,30.375321,69.345116,بلوچستان,پاکستان,,,,,
Nepal,28.394857,84.124008,गण्डकी प्रदेश,नेपाल,,,,,
Sikim + Bhutan,27.332742,88.610864,Sikkim,India,,,,,
Bangladesh,23.684994,90.356331,ঢাকা বিভাগ,বাংলাদেশ,,,,,
Kashmir + Jammu,32.7266016,74.8570259,Jammu and Kashmir,India,,,,,
Sri Lanka,7.873054,80.771797,Central Province,Sri Lanka,,,,,
Southeast Asia,-2.2179704,115.66283,Kalimantan Selatan,Indonesia,,,,,
Burma [Myanmar],21.916221,95.955974,စစ်ကိုင်းတိုင်းဒေသကြီး,မြန်မာ,,,,,
Thailand,15.870032,100.992541,NA,ประเทศไทย,,,,,
Laos,19.85627,102.495496,ຫລວງພະບາງ,ປະເທດລາວ,,,,,
Vietnam,14.058324,108.277199,Tỉnh Gia Lai,Việt Nam,,,,,
Indonesia & Malaysia,-0.789275,113.921327,Kalimantan Tengah,Indonesia,,,,,
Sumatra,-0.589724,101.343106,Riau,Indonesia,,,,,
Sabah,5.9788398,116.07532,Sabah,Malaysia,,,,,
Sarawak & Brunei,1.5532783,110.359213,Sarawak,Malaysia,,,,,
Borneo,0.9618834,114.55485,Kalimantan Timur,Indonesia,,,,,
Sulawesi,-1.8479,120.5279,Sulawesi Tengah,Indonesia,,,,,
Australia,-25.274398,133.775136,NA,Australia,,,,,
Northern Territory,-19.491411,132.55096,NA,Australia,,,,,
South Australia,-30.000232,136.209155,South Australia,Australia,,,,,
New South Wales,-31.253218,146.921099,New South Wales,Australia,,,,,
Papua New Guinea,-6.314993,143.95555,Southern Highlands,Papua Niugini,,,,,
New Ireland,-3.33,152,New Ireland,Papua Niugini,,,,,
New Zealand,-40.900557,174.885971,Wellington,New Zealand / Aotearoa,,,,,
North Island,-4.3949648,55.2452567,La Digue Group,Sesel,,,,,
South Island,-45.152671,169.892633,Otago,New Zealand / Aotearoa,,,,,
Canary Islands,28.2915637,-16.62913,Canarias,España,,,,,
Madeira,32.7607074,-16.959472,NA,Portugal,,,,,
Islands of Northwest Atlantic,49.2853237,-123.12323,British Columbia,Canada,,,,,
Bermuda,32.3078,-64.7505,Devonshire,Bermuda,,,,,
Falkland Islands,-51.796253,-59.523613,NA,Falkland Islands,,,,,
South Georgia,-54.413833,-36.582717,South Georgia,South Georgia and the South Sandwich Islands,,,,,
St. Helena,-15.96501,-5.7089241,Saint Helena,"Saint Helena, Ascension and Tristan da Cunha",,,,,
South Sandwich Islands,-54.429579,-36.587909,Tierra del Fuego,Falkland Islands,,,,,
Islands of Western Pacific,-8.783195,-124.50852,NA,NA,,,,,
Solomon Islands,-9.64571,160.156194,Guadalcanal,Solomon Islands,,,,,
Easter Island,-27.112723,-109.34969,Región de Valparaíso,Chile,,,,,
Galapagos Islands,-0.383106,-90.423334,Galápagos,Ecuador,,,,,
Hawaiian Islands,19.8967662,-155.58278,Hawaii,United States,,,,,
Marshall Islands,7.131474,171.184478,Ratak,Ṃajeḷ,,,,,
Fijian Islands,-17.713371,178.065032,Central,Viti,,,,,
Cook Islands,-21.236736,-159.77767,Rarotonga,Kūki ʻĀirani,,,,,
Samoa Islands,-12.798491,-170.47731,NA,NA,,,,,
New Caledonia,-20.904305,165.618042,NA,France,,,,,
Marquesas,-9.7812162,-139.08171,Polynésie Française,France,,,,,
Society Islands (incl. Tahiti),-16.761301,-151.44359,Polynésie Française,France,,,,,
Aldabra,-9.4236984,46.3432781,Zil Elwannyen Sesel,Sesel,,,,,
Andaman Islands,11.7400867,92.6586401,Andaman and Nicobar Islands,India,,,,,
Laccadive Islands,10.566667,72.641667,Lakshadweep,India,,,,,
Nicobar Islands,7.0346281,93.7841503,Andaman and Nicobar Islands,India,,,,,
Reunion Island,-21.115141,55.536384,La Réunion,France,,,,,
Icelandic coast,64.1325436,-21.919285,NA,Ísland,,,,,
Spitzbergen (Svalbard),78.90136,13.4838877,NA,Norge,,,,,
Northern Norwegian coast,60.31816,5.353485,NA,Norge,,,,,
Alaskan/Canadian zone,64.2008413,-149.49367,Alaska,United States,,,,,
NW Atlantic,49.2853237,-123.12323,British Columbia,Canada,,,,,
NE South American coast,-8.783195,-55.491477,Pará,Brasil,,,,,
Coast of USA,62.4113634,-149.07297,Alaska,United States,,,,,
Canadian coast,49.2868614,-123.11627,British Columbia,Canada,,,,,
Northeast Atlantic,39.370134,-77.406772,Maryland,United States,,,,,
West Coast of Norway,60.4121981,5.3222701,NA,Norge,,,,,
Western coast of British Isles,56.4132339,-5.4723629,Alba / Scotland,United Kingdom,,,,,
Western Iberian coast,40.4830106,-4.0875573,Comunidad de Madrid,España,,,,,
NW African coast,-8.783195,34.508523,Mbeya,Tanzania,,,,,
Off Azores/Canary/Cape Verde Isles,28.2915637,-16.62913,Canarias,España,,,,,
Aegean Sea,39.019184,25.268555,NA,Ελλάς,,,,,
European Inland Seas,36.0538134,14.191246,NA,Malta,,,,,
Aral Sea,45.3963063,59.6134113,Қызылорда облысы,Қазақстан,,,,,
Argentine/Uruguayan coast,-38.416097,-63.616672,La Pampa,Argentina,,,,,
Coast of Japan,35.4543846,139.644207,NA,日本,,,,,
Coast of Philippines,11.9574918,121.926966,Aklan,Philippines,,,,,
Pacific coast of Indonesia,-0.789275,113.921327,Kalimantan Tengah,Indonesia,,,,,
Coast of New Guinea,-5.0122202,141.347016,Sandaun,Papua Niugini,,,,,
Australian coast,-26.343859,152.85038,Queensland,Australia,,,,,
Coast of N Territories,-19.491411,132.55096,NA,Australia,,,,,
Coast of Queensland,-28.016667,153.4,Queensland,Australia,,,,,
Coast of NSW,-36.68061,149.656449,New South Wales,Australia,,,,,
Coast of Victoria,48.422256,-123.37972,British Columbia,Canada,,,,,
Coast of Tasmania,-42.371227,145.67966,Tasmania,Australia,,,,,
Colombian Pacific coast,4.570868,-74.297333,Cundinamarca,Colombia,,,,,
Ecuadorian coast,-0.9422027,-80.730363,Manabí,Ecuador,,,,,
Chilean coast,-32.98,-71.01,Región Metropolitana de Santiago,Chile,,,,,
Pacific coast of USA,62.4113634,-149.07297,Alaska,United States,,,,,
Hawaiian coast,19.8967662,-155.58278,Hawaii,United States,,,,,
New Zealand coast,-42.691923,171.339941,West Coast,New Zealand / Aotearoa,,,,,
