parasiteScientificName,Location,Latitude,Longitude
Moniliformis moniliformis,Australia,-25.274398,133.775136
Oncicola pomatostomi,Australia,-25.274398,133.775136
Echinorhynchus gadi,Northeast Atlantic,39.370134,-77.40677199999999
Bolbosoma vasculosum,Northeast Atlantic,39.370134,-77.40677199999999
Plagiorhynchus cylindraceus,Arkansas,35.20105,-91.8318334
Mediorhynchus grandis,Arkansas,35.20105,-91.8318334
Corynosoma strumosum,"England, Wales + Isle of Man",54.236107,-4.548056
Corynosoma strumosum,Scotland,56.49067119999999,-4.2026458
Pomphorhynchus bulbocolli,Indiana,40.2671941,-86.1349019
Acanthocephalus dirus,Indiana,40.2671941,-86.1349019
Neoechinorhynchus cylindratus,Indiana,40.2671941,-86.1349019
Pomphorhynchus bulbocolli,Lake Superior,47.723087,-86.940716
Neoechinorhynchus rutili,Lake Superior,47.723087,-86.940716
Bolbosoma balaenae,New South Wales,-31.2532183,146.921099
Corynosoma australe,South Australia,-30.0002315,136.2091547
Echinorhynchus borealis,Lake Baikal,53.5587003,108.1649965
Neoechinorhynchus cristatus,Lake Superior,47.723087,-86.940716
Leptorhynchoides thecatus,Lake Superior,47.723087,-86.940716
Neoechinorhynchus cylindratus,Lake Superior,47.723087,-86.940716
Leptorhynchoides thecatus,Lake Huron,45.0521793,-82.48509399999999
Pomphorhynchus bulbocolli,Lake Huron,45.0521793,-82.48509399999999
Neoechinorhynchus rutili,Lake Huron,45.0521793,-82.48509399999999
Polymorphus paradoxus,Canada,56.130366,-106.346771
Pallisentis nagpurensis,Bangladesh,23.684994,90.356331
Aspersentis megarhynchus,Southwest Indian Ocean,-33.137551,81.826172
Moniliformis moniliformis,European USSR (CIS),54.5259614,15.2551187
Neoechinorhynchus cristatus,Lake Huron,45.0521793,-82.48509399999999
Echinorhynchus gadi,Mediterranean,34.5531284,18.0480105
Corynosoma hamanni,Southwest Indian Ocean,-33.137551,81.826172
Bolbosoma vasculosum,Southwest Indian Ocean,-33.137551,81.826172
Bolbosoma vasculosum,Arabian Sea,12.2501506,64.33717
Moniliformis moniliformis,Kazakstan,48.019573,66.923684
Neoechinorhynchus cylindratus,Lake Huron,45.0521793,-82.48509399999999
Echinorhynchus gadi,Sea of Japan,38.848848,135
Echinorhynchus truttae,Japan,36.204824,138.252924
Pomphorhynchus bulbocolli,Lake Erie,42.0668852,-81.3399414
Neoechinorhynchus cristatus,Lake Erie,42.0668852,-81.3399414
Moniliformis moniliformis,Corsica,42.0396042,9.012892599999999
Leptorhynchoides thecatus,Lake Erie,42.0668852,-81.3399414
Neoechinorhynchus cylindratus,Lake Erie,42.0668852,-81.3399414
Neoechinorhynchus rutili,Lake Erie,42.0668852,-81.3399414
Neoechinorhynchus rutili,Lake Ontario,43.6333482,-77.82706689999999
Leptorhynchoides thecatus,Lake Ontario,43.6333482,-77.82706689999999
Filicollis anatis,Italy,41.87194,12.56738
Neoechinorhynchus saginatus,Lake Ontario,43.6333482,-77.82706689999999
Neoechinorhynchus cristatus,Lake Ontario,43.6333482,-77.82706689999999
Pomphorhynchus bulbocolli,Lake Ontario,43.6333482,-77.82706689999999
Neoechinorhynchus cylindratus,Lake Ontario,43.6333482,-77.82706689999999
Neoechinorhynchus rutili,Finno-Karelian ASSR,63.15587019999999,32.9905552
Pomphorhynchus bulbocolli,Saskatchewan,52.9399159,-106.4508639
Moniliformis moniliformis,Scotland,56.49067119999999,-4.2026458
Acanthocephalus anguillae,Finno-Karelian ASSR,63.15587019999999,32.9905552
Echinorhynchus borealis,Finno-Karelian ASSR,63.15587019999999,32.9905552
Corynosoma bullosum,Southwest Atlantic,-14.5994134,-28.6731465
Corynosoma pseudohamanni,Southwest Atlantic,-14.5994134,-28.6731465
Moniliformis clarki,Uzbekistan,41.377491,64.585262
Corynosoma strumosum,Iran,32.427908,53.688046
Echinorhynchus gadi,North Sea,56.511018,3.515625
Polymorphus minutus,Armenia,40.069099,45.038189
Aspersentis megarhynchus,Southwest Atlantic,-14.5994134,-28.6731465
Metacanthocephalus johnstoni,Southwest Atlantic,-14.5994134,-28.6731465
Corynosoma hamanni,Southwest Atlantic,-14.5994134,-28.6731465
