Parasite.species,Location,Latitude,Longitude,Chain.length,Host.habitat,parasiteKingdom,parasitePhylum,parasiteClass,parasiteOrder,parasiteFamily,parasiteGenus
Echinorhynchus leidyi,Manitoba,53.7608608,-98.8138762,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Echinorhynchus leidyi,Northwest Territories,64.8255441,-124.8457334,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Echinorhynchus salmonis,Northwest Territories,64.8255441,-124.8457334,3,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Echinorhynchus gadi,British Columbia,53.7266683,-127.6476205,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Neoechinorhynchus saginatus,British Columbia,53.7266683,-127.6476205,2,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Neoechinorhynchus rutili,Ontario,51.253775,-85.323214,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Neoechinorhynchus saginatus,Ontario,51.253775,-85.323214,2,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Neoechinorhynchus rutili,Yukon,64.2823274,-135,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Echinorhynchus gadi,Quebec,52.9399159,-73.5491361,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Echinorhynchus gadi,Nova Scotia,44.68198659999999,-63.744311,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Echinorhynchus gadi,Alberta,53.9332706,-116.5765035,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Neoechinorhynchus rutili,New Brunswick,46.5653163,-66.46191639999999,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Pomphorhynchus bulbocolli,New Brunswick,46.5653163,-66.46191639999999,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Pomphorhynchus bulbocolli,Nova Scotia,44.68198659999999,-63.744311,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Echinorhynchus gadi,Northwest Territories,64.8255441,-124.8457334,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Neoechinorhynchus rutili,Northwest Territories,64.8255441,-124.8457334,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Echinorhynchus gadi,Arctic Ocean,65.2481624,-60.4620977,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Echinorhynchus leidyi,Quebec,52.9399159,-73.5491361,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Echinorhynchus salmonis,Quebec,52.9399159,-73.5491361,3,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Leptorhynchoides thecatus,Quebec,52.9399159,-73.5491361,4,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Rhadinorhynchidae,Leptorhynchoides
Leptorhynchoides thecatus,Labrador,48.66,-56.22,4,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Rhadinorhynchidae,Leptorhynchoides
Neoechinorhynchus cylindratus,Ontario,51.253775,-85.323214,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Neoechinorhynchus cylindratus,Quebec,52.9399159,-73.5491361,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Neoechinorhynchus cristatus,British Columbia,53.7266683,-127.6476205,2,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Neoechinorhynchus cylindratus,British Columbia,53.7266683,-127.6476205,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Neoechinorhynchus rutili,Alberta,53.9332706,-116.5765035,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Neoechinorhynchus cristatus,Alberta,53.9332706,-116.5765035,2,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Neoechinorhynchus cristatus,Quebec,52.9399159,-73.5491361,2,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Neoechinorhynchus cristatus,Labrador,48.66,-56.22,2,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Pomphorhynchus bulbocolli,Quebec,52.9399159,-73.5491361,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Neoechinorhynchus cristatus,Ontario,51.253775,-85.323214,2,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Polymorphus minutus,Finland,61.92410999999999,25.7481511,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Polymorphus
Corynosoma strumosum,Atlantic Ocean,-14.5994134,-28.6731465,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Neoechinorhynchus rutili,Newfoundland,53.1355091,-57.6604364,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Neoechinorhynchus rutili,Labrador,48.66,-56.22,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Pomphorhynchus bulbocolli,Canada,56.130366,-106.346771,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Echinorhynchus gadi,Labrador,48.66,-56.22,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Corynosoma magdaleni,Atlantic Ocean,-14.5994134,-28.6731465,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Corynosoma semerme,Atlantic Ocean,-14.5994134,-28.6731465,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Corynosoma strumosum,Arctic Ocean,65.2481624,-60.4620977,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Moniliformis moniliformis,Uzbekistan,41.377491,64.585262,2,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Moniliformida,Moniliformidae,Moniliformis
Macracanthorhynchus catulinus,Uzbekistan,41.377491,64.585262,3,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae,Macracanthorhynchus
Corynosoma australe,Southwest Atlantic,-14.5994134,-28.6731465,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Neoechinorhynchus rutili,Iraq,33.223191,43.679291,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Pomphorhynchus laevis,Tadzhikistan,38.861034,71.276093,4,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Acanthocephalus lucii,Eire + N. Ireland,54.7877149,-6.4923145,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Polymorphus marilis,Manitoba,53.7608608,-98.8138762,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Polymorphus
Filicollis anatis,East Germany (!! USE Germany),51.165691,10.451526,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Filicollis
Neoechinorhynchus rutili,European USSR (CIS),54.5259614,15.2551187,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Acanthocephalus anguillae,European USSR (CIS),54.5259614,15.2551187,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Acanthocephalus lucii,European USSR (CIS),54.5259614,15.2551187,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Paratenuisentis ambiguus,Germany,51.165691,10.451526,2,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Tenuisentidae,Paratenuisentis
Macracanthorhynchus ingens,Kansas,39.011902,-98.4842465,3,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae,Macracanthorhynchus
Moniliformis moniliformis,Australia,-25.274398,133.775136,2,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Moniliformida,Moniliformidae,Moniliformis
Oncicola pomatostomi,Australia,-25.274398,133.775136,3,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae,Oncicola
Echinorhynchus gadi,Northeast Atlantic,39.370134,-77.40677199999999,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Bolbosoma vasculosum,Northeast Atlantic,39.370134,-77.40677199999999,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Bolbosoma
Plagiorhynchus cylindraceus,Arkansas,35.20105,-91.8318334,2,terrestrial,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Plagiorhynchidae,Plagiorhynchus
Mediorhynchus grandis,Arkansas,35.20105,-91.8318334,2,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Gigantorhynchida,Giganthorhynchidae,Mediorhynchus
Corynosoma strumosum,"England, Wales + Isle of Man",54.236107,-4.548056,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Corynosoma strumosum,Scotland,56.49067119999999,-4.2026458,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Pomphorhynchus bulbocolli,Indiana,40.2671941,-86.1349019,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Acanthocephalus dirus,Indiana,40.2671941,-86.1349019,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Neoechinorhynchus cylindratus,Indiana,40.2671941,-86.1349019,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Pomphorhynchus bulbocolli,Lake Superior,47.723087,-86.940716,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Neoechinorhynchus rutili,Lake Superior,47.723087,-86.940716,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Bolbosoma balaenae,New South Wales,-31.2532183,146.921099,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Bolbosoma
Corynosoma australe,South Australia,-30.0002315,136.2091547,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Echinorhynchus cinctulus,Lake Baikal,53.5587003,108.1649965,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
